"id","eqp_type_name","failure_cat","code","description","ErrorGroup","Status"
"481","AFC","Others","0","Rider ship portal not working",NULL,"1"
"482","AFC","Others","0","Revenue Portal not working",NULL,"1"
"483","OTHERS","Others","0","Rider Ship Portal not working",NULL,"1"
"484","GATE","Hardware","455","DOM Faulty","DOM Faulty","1"
"485","GATE","Hardware","176","Gate SMPS Faulty",NULL,"1"
"486","GATE","Others","411","MTU Faulty",NULL,"1"
"487","GATE","Hardware","412","FEIG Reader Faulty",NULL,"1"
"488","GATE","Hardware","499","Motor Faulty",NULL,"1"
"489","GATE","Hardware","0","UCM Faulty",NULL,"1"
"490","GATE","Hardware","0","PSU Faulty",NULL,"1"
"491","GATE","Hardware","0","Control Card Faulty",NULL,"1"
"492","GATE","Hardware","0","PCM Faulty",NULL,"1"
"493","GATE","Hardware","0","PCM Transformer Faulty
",NULL,"1"
"494","GATE","Hardware","0","Dispatcher Faulty
",NULL,"1"
"495","GATE","Hardware","0","GCU Faulty",NULL,"1"
"496","GATE","Hardware","411","Left Assembly Faulty",NULL,"1"
"497","GATE","Hardware","411","Right Assembly Faulty",NULL,"1"
"498","TELE SWITCH","Software","0","Not On LAN",NULL,"1"
"499","AFC SWITCH","Hardware","0","Switch Faulty",NULL,"1"
"500","TELE SWITCH","Others","0","Others/Unknown Error",NULL,"1"
"501","GATE","Hardware","0","MIB Faulty",NULL,"1"
"502","GATE","Software","0","ADS Faulty",NULL,"1"
"503","NCMC","Others","0","UPI payment fail",NULL,"1"
"504","others AFC","Others","NCMC card could not recharge",,NULL,"1"
"505","NCMC","Others","1","Others, Unknown",NULL,"1"
"506","RADIO","Others",,"Train radio not showing in UTO mode",NULL,"1"
"507","EMERGENCY SWITCH","Others",,"Emergency Power switch not working",NULL,"1"
"508","EFO","Others",,"Display not working",NULL,"1"
"509","EPABX","Others",,"Intercom not working",NULL,"1"
"510","TVM","Others",,"Not dispensing Coin",NULL,"1"
"511","EFO","Others",,"CSM not working",NULL,"1"
"512","TVM","Others",,"Distorted QR ticket generated",NULL,"1"
"513","PAS/PIDS","Others","Live PA not ok",,NULL,"1"
"514","TIM","Software",,"Out of service",NULL,"1"
"515","TIM","Software",,"Coin Not Dispensing",NULL,"1"
"516","CSM","Others",,"Out of service",NULL,"1"
"517","TIM","Software",,"Printer failure",NULL,"1"
"518","TIM","Others",,"Other Error",NULL,"1"
"519","MTNL","Others","0","Landline Phone not working",NULL,"1"
"520","EPABX","Others","0","DLC Not working",NULL,"1"
"521","EPABX","Others","0","Master Conference Set not working",NULL,"1"
